tabname,fieldname,position,keyflag,rollname,domname,datatype,leng,decimals,notnull,checktable,reftable,reffield,ddtext
/BA1/HFSPD,/BA1/C55CHGRSN,104,,,,CHAR,4,0,,,,, Accounting Change
/BA1/HFSPD,/BA1/C55CLCLTR,105,,,,CHAR,4,0,,,,, Calculator
/BA1/HFSPD,/BA1/C55CMETH,106,,,,CHAR,4,0,,,,, Calculation Method
/BA1/HFSPD,/BA1/C55CMETHY,107,,,,CHAR,4,0,,,,, Calculation Methodology
/BA1/HFSPD,/BA1/C55IOIND,108,,,,CHAR,1,0,,,,, Inflow/Outflow
/BA1/HFSPD,/BA1/C58CRMSTP,109,,,,CHAR,2,0,,,,, Granularity for Estimating Credit Risk Parameters
/BA1/HFSPD,/BA1/C55ACCKEY,110,,,,CHAR,10,0,,,,, Transaction Key
/BA1/HFSPD,/BA1/C58SPTFCT,111,,,,CHAR,4,0,,,,, Subportfolio Category
/BA1/HFSPD,/BA1/C58SPTFID,112,,,,CHAR,20,0,,,,, Subportfolio ID
/BA1/HFSPD,/BA1/CRCCSDAT,113,,,,DATS,8,0,,,,, Start Date of Coverage
/BA1/HFSPD,/BA1/C55TCNTRY,114,,,,CHAR,3,0,,,,, Tax Country/Region
/BA1/HFSPD,/BA1/C55TCODE,115,,,,CHAR,2,0,,,,, Tax Code
/BA1/HFSPD,/BA1/C55TCODER,116,,,,CHAR,2,0,,,,, Reference Tax Code
/BA1/HFSPD,/BA1/C55BPCOCR,117,,,,CHAR,10,0,,,,, Business Partner Cost Center
/BA1/HFSPD,/BA1/C55BPCOCD,118,,,,CHAR,10,0,,,,, Imported Business Partner Cost Center
/BA1/HFSPD,/BA1/C55BPINS,119,,,,CHAR,4,0,,,,, Industry
/BA1/HFSPD,/BA1/C55BPINST,120,,,,CHAR,4,0,,,,, Industry System
/BA1/HFSPD,/BA1/C55BPISGT,121,,,,CHAR,4,0,,,,, Industry Segment (Balance Sheet)
/BA1/HFSPD,/BA1/C55ACQDAT,122,,,,DATS,8,0,,,,, Initial Recognition Date (Company)
/BA1/HFSPD,/BA1/C55ACLDAT,123,,,,DATS,8,0,,,,, Initial Recognition Date (Company Code)
/BA1/HFSPD,/BA1/C55OCYACQ,124,,,,CHAR,4,0,,,,, Time Reference for Purchase
/BA1/HFSPD,/BA1/C55R5CNID,125,,,,CHAR,20,0,,,,, Assigned Master Data Object (Interunit Elimination)
/BA1/HFSPD,/BA1/C11REFCON,126,,,,CHAR,20,0,,,,, Refinancing Contract
/BA1/HFSPD,/BA1/C55SLAGRP,127,,,,CHAR,4,0,,,,, Subledger Account Group
/BA1/HFSPD,/BA1/C20LITGST,128,,,,CHAR,2,0,,,,, Status of Legal Proceedings
/BA1/HFSPD,/BA1/CRCBASAM,129,,,,CHAR,2,0,,,,, Basis of Actuarial Model
/BA1/HFSPD,/BA1/CRCBECFVN,130,,,,NUMC,3,0,,,,, Cash Flow Version Number
/BA1/HFSPD,/BA1/CRCBECFVR,131,,,,CHAR,20,0,,,,, Cancellation Reference
/BA1/HFSPD,/BA1/CRCCANIND,132,,,,CHAR,1,0,,,,, Cancellation Indicator
/BA1/HFSPD,/BA1/CRCCFCATG,133,,,,CHAR,2,0,,,,, Cash Flow Category
/BA1/HFSPD,/BA1/CRCHDCF,134,,,,CHAR,2,0,,,,, Expectation Change Category
/BA1/HFSPD,/BA1/CRCCRHCF,135,,,,CHAR,2,0,,,,, Expectation Change Reason (Cash Flow)
/BA1/HFSPD,/BA1/CRPIBTY,136,,,,CHAR,3,0,,,,, Insurance Business Type
/BA1/HFSPD,/BA1/CRPIIGR,137,,,,CHAR,2,0,,,,, Insurance Phase
/BA1/HFSPD,/BA1/CRPTRDAT,138,,,,DATS,8,0,,,,, Tranche Start Date
/BA1/HFSPD,/BA1/CRCPAYCAT,139,,,,CHAR,2,0,,,,, Cost or Revenue Element
/BA1/HFSPD,/BA1/CRCCUREXP,140,,,,CUKY,5,0,,,,, Expected Payment Currency
/BA1/HFSPD,/BA1/K5SAMOBJ,141,,,,CURR,15,2,,,,, Amount in Transaction Currency
/BA1/HFSPD,/BA1/OBJ_CURR,142,,,,CUKY,5,0,,,,, Object Currency/Transaction Currency in Accounting
/BA1/HFSPD,/BA1/K5SAMNOM,143,,,,CURR,15,2,,,,, Nominal Amount in Nominal Currency
/BA1/HFSPD,/BA1/K5SAMNOMC,144,,,,CUKY,5,0,,,,, Key Figure Currency (Nominal)
/BA1/HFSPD,/BA1/K5SQUANT,145,,,,QUAN,13,3,,,,, Quantity as a Key Figure
/BA1/HFSPD,UNIT,146,,,,UNIT,3,0,,,,, Unit of Measure of a Key Figure
/BA1/HFSPD,/BA1/K5SAMBAL,147,,,,CURR,15,2,,,,, Amount in Functional Currency
/BA1/HFSPD,/BA1/BIL_CURR,148,,,,CUKY,5,0,,,,, Functional Currency
/BA1/HFSPD,/BA1/K5SAMGRP,149,,,,CURR,15,2,,,,, Amount in Group Currency
/BA1/HFSPD,/BA1/GRP_CURR,150,,,,CUKY,5,0,,,,, Group Currency
/BA1/HFSPD,/BA1/K5SAMHRD,151,,,,CURR,15,2,,,,, Amount in Hard Currency
/BA1/HFSPD,/BA1/HRD_CURR,152,,,,CUKY,5,0,,,,, Hard Currency
/BA1/HFSPD,/BA1/K5SAMIDX,153,,,,CURR,15,2,,,,, Amount in Index-Based Currency
/BA1/HFSPD,/BA1/IDX_CURR,154,,,,CUKY,5,0,,,,, Index-Based Currency
/BA1/HFSPD,/BA1/K5SAMLOC,155,,,,CURR,15,2,,,,, Amount in Local Currency
